date,value
2022-05-01,1.3999558e-08
2022-05-02,1.86105442e-08
2022-05-03,2.2756188e-08
2022-05-04,1.51736312e-08
2022-05-05,1.40350993e-08
2022-05-06,2.04308979e-08
2022-05-07,1.82022806e-08
2022-05-08,2.18777974e-08
2022-05-09,1.87734646e-08
2022-05-10,2.42580445e-08
2022-05-11,2.00989518e-08
2022-05-12,2.09505995e-08
2022-05-13,2.06543813e-08
2022-05-14,2.29271233e-08
2022-05-15,2.2325727e-08
2022-05-16,1.55969655e-08
2022-05-17,2.34062814e-08
2022-05-18,2.51009045e-08
2022-05-19,2.57759751e-08
2022-05-20,2.18754561e-08
2022-05-21,3.16642712e-08
2022-05-22,1.72404206e-08
2022-05-23,1.77279187e-08
2022-05-24,1.86130915e-08
2022-05-25,2.40486315e-08
2022-05-26,2.47065515e-08
2022-05-27,2.57757353e-08
2022-05-28,3.31976331e-08
2022-05-29,3.08932933e-08
2022-05-30,3.15902469e-08
2022-05-31,2.7226001e-08
2022-06-01,2.55081503e-08
2022-06-02,2.63571778e-08
2022-06-03,2.729427e-08
2022-06-04,2.96496605e-08
2022-06-05,3.16685167e-08
2022-06-06,2.84374195e-08
2022-06-07,2.30878161e-08
2022-06-08,2.20524754e-08
2022-06-09,2.88481754e-08
2022-06-10,3.19432836e-08
2022-06-11,3.66794275e-08
2022-06-12,2.52130707e-08
2022-06-13,2.32714754e-08
2022-06-14,2.4109843e-08
2022-06-15,2.84782686e-08
2022-06-16,2.60265978e-08
2022-06-17,2.67535452e-08
2022-06-18,3.25765797e-08
2022-06-19,2.8095009e-08
2022-06-20,2.77502181e-08
2022-06-21,2.38306033e-08
2022-06-22,2.68727387e-08
2022-06-23,2.93412743e-08
2022-06-24,2.98001783e-08
2022-06-25,2.74719341e-08
2022-06-26,2.69105396e-08
2022-06-27,3.03849994e-08
2022-06-28,3.28398606e-08
2022-06-29,3.42151587e-08
2022-06-30,3.41098705e-08
2022-07-01,3.16422231e-08
2022-07-02,2.8020338e-08
2022-07-03,2.92303e-08
2022-07-04,3.27136185e-08
2022-07-05,2.97246103e-08
2022-07-06,2.67676601e-08
2022-07-07,2.6532641e-08
2022-07-08,3.00225729e-08
2022-07-09,2.93357214e-08
2022-07-10,2.57425423e-08
2022-07-11,3.08655252e-08
2022-07-12,3.25010348e-08
2022-07-13,3.15139381e-08
2022-07-14,3.14519575e-08
2022-07-15,2.68165099e-08
2022-07-16,3.0491524e-08
2022-07-17,2.98269036e-08
2022-07-18,3.09625499e-08
2022-07-19,3.52692275e-08
2022-07-20,3.25522436e-08
2022-07-21,2.80537851e-08
2022-07-22,3.23519771e-08
2022-07-23,3.50308227e-08
2022-07-24,3.38032144e-08
2022-07-25,3.64522634e-08
2022-07-26,3.65621737e-08
2022-07-27,3.60733914e-08
2022-07-28,3.710554e-08
2022-07-29,3.69975588e-08
2022-07-30,3.43618183e-08
2022-07-31,3.28220651e-08
2022-08-01,2.90917495e-08
2022-08-02,2.85536803e-08
2022-08-03,3.03992778e-08
2022-08-04,3.2475004e-08
2022-08-05,3.34232801e-08
2022-08-06,2.90048749e-08
2022-08-07,2.9681992e-08
2022-08-08,2.91482127e-08
2022-08-09,3.02903764e-08
2022-08-10,2.90542417e-08
2022-08-11,2.87100672e-08
2022-08-12,3.14712345e-08
2022-08-13,2.81228534e-08
2022-08-14,2.68763785e-08
2022-08-15,2.99922895e-08
2022-08-16,3.22925438e-08
2022-08-17,3.31604824e-08
2022-08-18,3.13636939e-08
2022-08-19,2.62197677e-08
2022-08-20,2.60320387e-08
2022-08-21,2.56728239e-08
2022-08-22,2.52593821e-08
2022-08-23,2.73154139e-08
2022-08-24,3.08561425e-08
2022-08-25,3.0482326e-08
2022-08-26,3.03915613e-08
2022-08-27,2.69083813e-08
2022-08-28,2.52824552e-08
2022-08-29,2.84176469e-08
2022-08-30,2.98789153e-08
2022-08-31,2.90694775e-08
2022-09-01,2.83196613e-08
2022-09-02,2.87349113e-08
2022-09-03,2.83117032e-08
2022-09-04,2.66818869e-08
2022-09-05,2.53360497e-08
2022-09-06,2.43456686e-08
2022-09-07,2.61629083e-08
2022-09-08,3.10542454e-08
2022-09-09,2.78956751e-08
2022-09-10,3.0408156e-08
2022-09-11,2.96511491e-08
2022-09-12,2.4730987e-08
