date,value
2022-05-01,309.195007
2022-05-02,312.840515
2022-05-03,316.361572
2022-05-04,310.900482
2022-05-05,308.515503
2022-05-06,312.753723
2022-05-07,311.870697
2022-05-08,314.994293
2022-05-09,311.452301
2022-05-10,316.966919
2022-05-11,314.165985
2022-05-12,314.904663
2022-05-13,314.434784
2022-05-14,315.366577
2022-05-15,316.582703
2022-05-16,310.562256
2022-05-17,317.083984
2022-05-18,317.673676
2022-05-19,318.278381
2022-05-20,314.949646
2022-05-21,321.73114
2022-05-22,311.415955
2022-05-23,312.348938
2022-05-24,313.490204
2022-05-25,318.67984
2022-05-26,317.663055
2022-05-27,318.875702
2022-05-28,322.874878
2022-05-29,321.990631
2022-05-30,322.315613
2022-05-31,319.653687
2022-06-01,318.924042
2022-06-02,319.807709
2022-06-03,319.994934
2022-06-04,320.751648
2022-06-05,321.384888
2022-06-06,320.327026
2022-06-07,318.012665
2022-06-08,316.91922
2022-06-09,320.285767
2022-06-10,321.687195
2022-06-11,323.456818
2022-06-12,318.224762
2022-06-13,317.243195
2022-06-14,317.834473
2022-06-15,321.207031
2022-06-16,319.936157
2022-06-17,320.276855
2022-06-18,323.580017
2022-06-19,319.959167
2022-06-20,319.966522
2022-06-21,316.961731
2022-06-22,318.636963
2022-06-23,320.239563
2022-06-24,320.91745
2022-06-25,319.290741
2022-06-26,318.47348
2022-06-27,320.450836
2022-06-28,322.805908
2022-06-29,323.210022
2022-06-30,323.14209
2022-07-01,322.091888
2022-07-02,320.477814
2022-07-03,321.799133
2022-07-04,323.108368
2022-07-05,320.997162
2022-07-06,320.008728
2022-07-07,320.216797
2022-07-08,322.133423
2022-07-09,321.500916
2022-07-10,319.288727
2022-07-11,321.876709
2022-07-12,323.228516
2022-07-13,322.949677
2022-07-14,322.579132
2022-07-15,320.155121
2022-07-16,321.892273
2022-07-17,321.661713
2022-07-18,322.864197
2022-07-19,325.447662
2022-07-20,323.2883
2022-07-21,320.8591
2022-07-22,322.710876
2022-07-23,323.742615
2022-07-24,323.076294
2022-07-25,324.211212
2022-07-26,324.285797
2022-07-27,324.616547
2022-07-28,326.228516
2022-07-29,325.961243
2022-07-30,324.30954
2022-07-31,323.203644
2022-08-01,321.699677
2022-08-02,322.229675
2022-08-03,322.885162
2022-08-04,324.592316
2022-08-05,324.556641
2022-08-06,321.645081
2022-08-07,321.542114
2022-08-08,321.023132
2022-08-09,321.638702
2022-08-10,321.387115
2022-08-11,321.31604
2022-08-12,323.024261
2022-08-13,320.684967
2022-08-14,320.332672
2022-08-15,321.893036
2022-08-16,322.960205
2022-08-17,323.420837
2022-08-18,322.430298
2022-08-19,319.818268
2022-08-20,320.181152
2022-08-21,320.374603
2022-08-22,319.513519
2022-08-23,320.486389
2022-08-24,322.050659
2022-08-25,321.701202
2022-08-26,322.745819
2022-08-27,320.647552
2022-08-28,320.43454
2022-08-29,323.095123
2022-08-30,323.877625
2022-08-31,323.915405
2022-09-01,322.166626
2022-09-02,322.944885
2022-09-03,322.599731
2022-09-04,321.501831
2022-09-05,320.125763
2022-09-06,318.522003
2022-09-07,319.876617
2022-09-08,321.798157
2022-09-09,320.199188
2022-09-10,321.709625
2022-09-11,321.221161
2022-09-12,319.087952
2022-09-13,317.772278
2022-09-14,316.972626
2022-09-15,319.733826
2022-09-16,319.064362
2022-09-17,319.682556
2022-09-18,320.066254
2022-09-19,314.72287
2022-09-20,318.175507
2022-09-21,314.918823
2022-09-22,315.353149
2022-09-23,316.346771
2022-09-24,318.125549
2022-09-25,315.89444
2022-09-26,316.313232
2022-09-27,318.420013
2022-09-28,317.123688
2022-09-29,318.594299
2022-09-30,317.562927
2022-10-01,318.282471
2022-10-02,317.504517
2022-10-03,314.616852
2022-10-04,316.065399
2022-10-05,315.696198
2022-10-06,316.868073
2022-10-07,313.728638
2022-10-08,314.18924
2022-10-09,314.867676
2022-10-10,313.384369
2022-10-11,313.701508
2022-10-12,313.550354
2022-10-13,313.124176
2022-10-14,312.956207
2022-10-15,312.603271
2022-10-16,311.757141
2022-10-17,312.245422
2022-10-18,312.442291
2022-10-19,313.267181
2022-10-20,310.565735
2022-10-21,310.609589
2022-10-22,312.021179
2022-10-23,312.784149
2022-10-24,312.040314
2022-10-25,312.609253
2022-10-26,310.455475
2022-10-27,312.901337
2022-10-28,311.89328
2022-10-29,311.210419
2022-10-30,311.368622
2022-10-31,310.207031
2022-11-01,310.168091
2022-11-02,309.753174
2022-11-03,310.367371
2022-11-04,309.980377
2022-11-05,308.581055
2022-11-06,310.554352
2022-11-07,307.058472
2022-11-08,306.142273
2022-11-09,306.111542
2022-11-10,306.622467
2022-11-11,307.577057
2022-11-12,308.996002
2022-11-13,307.733612
2022-11-14,307.881622
2022-11-15,305.724365
2022-11-16,304.990295
2022-11-17,304.27829
2022-11-18,305.641052
2022-11-19,306.437439
2022-11-20,306.655273
2022-11-21,304.900635
2022-11-22,303.261688
2022-11-23,306.047363
2022-11-24,302.865112
2022-11-25,298.692291
2022-11-26,304.196259
2022-11-27,299.735931
2022-11-28,303.938019
2022-11-29,298.289154
2022-11-30,302.256744
2022-12-01,304.387604
2022-12-02,303.682129
2022-12-03,301.324371
2022-12-04,303.076355
2022-12-05,303.37796
2022-12-06,302.86557
2022-12-07,301.449188
2022-12-08,302.809021
2022-12-09,302.937866
2022-12-10,303.095032
2022-12-11,302.676331
2022-12-12,303.252075
2022-12-13,302.987549
2022-12-14,300.07959
2022-12-15,302.2323
2022-12-16,303.586975
2022-12-17,303.425018
2022-12-18,303.424133
2022-12-19,302.4664
2022-12-20,302.158142
2022-12-21,298.186737
2022-12-22,300.415894
2022-12-23,300.796967
2022-12-24,300.286926
2022-12-25,296.591309
2022-12-26,291.48233
2022-12-27,298.721558
2022-12-28,299.904816
2022-12-29,300.412994
2022-12-30,300.262299
2022-12-31,299.740021
2023-01-01,298.726471
2023-01-02,299.855438
2023-01-03,300.713074
2023-01-04,299.268677
2023-01-05,298.825623
2023-01-06,298.908966
2023-01-07,301.358124
2023-01-08,300.586578
2023-01-09,300.525146
2023-01-10,299.721344
2023-01-11,298.767517
2023-01-12,295.878693
2023-01-13,295.206085
2023-01-14,295.045258
2023-01-15,297.468689
2023-01-16,296.997375
2023-01-17,298.863556
2023-01-18,301.185516
2023-01-19,300.9599
2023-01-20,301.343536
2023-01-21,301.895111
2023-01-22,302.644135
2023-01-23,302.001495
2023-01-24,302.049774
2023-01-25,302.016815
2023-01-26,301.917358
2023-01-27,302.545868
2023-01-28,301.183197
2023-01-29,299.485748
