date,value
2022-05-01,8.28253178e-07
2022-05-02,1.30704041e-06
2022-05-03,1.78288235e-06
2022-05-04,4.36688015e-06
2022-05-05,4.48160863e-05
2022-05-06,6.77733669e-06
2022-05-07,5.05588605e-06
2022-05-08,3.51615626e-09
2022-05-09,1.63484046e-07
2022-05-10,0
2022-05-11,0
2022-05-12,0
2022-05-13,0
2022-05-14,0
2022-05-15,4.6137913e-07
2022-05-16,0
2022-05-17,0
2022-05-18,0
2022-05-19,0
2022-05-20,0
2022-05-21,0
2022-05-22,1.01767764e-05
2022-05-23,3.5473553e-05
2022-05-24,0
2022-05-25,0
2022-05-26,0
2022-05-27,0
2022-05-28,0
2022-05-29,0
2022-05-30,0
2022-05-31,0
2022-06-01,0
2022-06-02,9.39063341e-11
2022-06-03,0
2022-06-04,0
2022-06-05,0
2022-06-06,0
2022-06-07,1.28091671e-09
2022-06-08,0
2022-06-09,0
2022-06-10,0
2022-06-11,0
2022-06-12,1.32766336e-05
2022-06-13,4.82064643e-05
2022-06-14,2.20120137e-06
2022-06-15,3.64699787e-07
2022-06-16,0
2022-06-17,0
2022-06-18,0
2022-06-19,0
2022-06-20,0
2022-06-21,2.52905738e-06
2022-06-22,4.12695073e-07
2022-06-23,0
2022-06-24,0
2022-06-25,9.70623805e-05
2022-06-26,0
2022-06-27,3.90678885e-08
2022-06-28,0
2022-06-29,0
2022-06-30,0
2022-07-01,0
2022-07-02,0
2022-07-03,0
2022-07-04,0
2022-07-05,0
2022-07-06,0
2022-07-07,0
2022-07-08,0
2022-07-09,0
2022-07-10,9.42820009e-07
2022-07-11,3.28144779e-06
2022-07-12,0
2022-07-13,0
2022-07-14,0
2022-07-15,0
2022-07-16,0
2022-07-17,0
2022-07-18,0
2022-07-19,0
2022-07-20,0
2022-07-21,0
2022-07-22,0
2022-07-23,0
2022-07-24,0
2022-07-25,0
2022-07-26,0
2022-07-27,0
2022-07-28,0
2022-07-29,0
2022-07-30,0
2022-07-31,0
2022-08-01,2.43586982e-08
2022-08-02,1.88539264e-08
2022-08-03,0
2022-08-04,0
2022-08-05,0
2022-08-06,0
2022-08-07,0
2022-08-08,3.88838153e-08
2022-08-09,2.085402e-06
2022-08-10,3.68599217e-06
2022-08-11,1.28116164e-06
2022-08-12,0
2022-08-13,1.12692476e-07
2022-08-14,2.18075584e-07
2022-08-15,0
2022-08-16,0
2022-08-17,0
2022-08-18,0
2022-08-19,0
2022-08-20,0
2022-08-21,2.77154246e-08
2022-08-22,4.82412936e-08
2022-08-23,9.32123385e-07
2022-08-24,4.15482958e-07
2022-08-25,0
2022-08-26,0
2022-08-27,0
2022-08-28,0
2022-08-29,0
2022-08-30,0
2022-08-31,2.85438659e-08
2022-09-01,1.38833002e-06
2022-09-02,6.92436686e-07
2022-09-03,2.3448338e-07
2022-09-04,4.92855122e-07
2022-09-05,2.66970037e-08
2022-09-06,3.44893692e-07
2022-09-07,5.60606338e-07
2022-09-08,4.94133179e-10
2022-09-09,0
2022-09-10,0
2022-09-11,0
2022-09-12,4.40354908e-09
2022-09-13,3.39120675e-06
2022-09-14,3.08008202e-06
2022-09-15,2.46453933e-08
2022-09-16,0
2022-09-17,0
2022-09-18,7.49306395e-09
2022-09-19,2.3541977e-06
2022-09-20,2.28120712e-06
2022-09-21,7.50940387e-07
2022-09-22,4.70597769e-07
2022-09-23,6.03578599e-07
2022-09-24,0
2022-09-25,0
2022-09-26,0
2022-09-27,0
2022-09-28,0
2022-09-29,0
2022-09-30,0
2022-10-01,0
2022-10-02,0
2022-10-03,5.68592249e-08
2022-10-04,9.38915612e-11
2022-10-05,1.10476634e-07
2022-10-06,5.45516465e-10
2022-10-07,1.5690226e-07
2022-10-08,1.05329345e-05
2022-10-09,1.11928593e-05
2022-10-10,4.51652932e-06
2022-10-11,0
2022-10-12,2.93999686e-10
2022-10-13,3.08874842e-05
2022-10-14,3.55033239e-06
2022-10-15,4.7462604e-06
2022-10-16,5.78076111e-08
2022-10-17,1.1716581e-05
2022-10-18,9.62928516e-06
2022-10-19,0
2022-10-20,2.49292702e-06
2022-10-21,3.39722101e-06
2022-10-22,4.16181109e-07
2022-10-23,4.6471834e-07
2022-10-24,6.46929357e-06
2022-10-25,1.92185666e-07
2022-10-26,4.62221396e-06
2022-10-27,0
2022-10-28,0
2022-10-29,0
2022-10-30,0
2022-10-31,2.05183878e-05
2022-11-01,5.48809767e-05
2022-11-02,1.75394816e-05
2022-11-03,0
2022-11-04,0
2022-11-05,0
2022-11-06,1.53795227e-05
2022-11-07,0.000173303895
2022-11-08,0.000115215167
2022-11-09,8.22773145e-05
2022-11-10,2.01163912e-05
2022-11-11,2.52127403e-08
2022-11-12,0
2022-11-13,0
2022-11-14,1.44072203e-08
2022-11-15,5.11922844e-05
2022-11-16,0.000135102833
2022-11-17,4.27537161e-05
2022-11-18,1.00355692e-06
2022-11-19,0
2022-11-20,0
2022-11-21,0
2022-11-22,2.90053449e-05
2022-11-23,1.63236493e-07
2022-11-24,0.000137564974
2022-11-25,0.000535253261
2022-11-26,0.000150203807
2022-11-27,0
2022-11-28,0
2022-11-29,0.000164916288
2022-11-30,6.04731649e-05
2022-12-01,9.97793995e-06
2022-12-02,2.40713209e-08
2022-12-03,0
2022-12-04,0
2022-12-05,1.01664409e-06
2022-12-06,8.275867e-06
2022-12-07,1.27341955e-05
2022-12-08,2.44992748e-06
2022-12-09,1.32515041e-07
2022-12-10,0
2022-12-11,2.91500442e-08
2022-12-12,3.29437349e-08
2022-12-13,6.48256673e-06
2022-12-14,6.33727905e-05
2022-12-15,2.9789684e-05
2022-12-16,1.52738539e-06
2022-12-17,0
2022-12-18,0
2022-12-19,0
2022-12-20,0
2022-12-21,0.000143888145
2022-12-22,1.67419234e-08
2022-12-23,2.06328127e-06
2022-12-24,2.44109488e-05
2022-12-25,1.24412027e-05
2022-12-26,0.000179817158
2022-12-27,1.621774e-06
2022-12-28,4.94573158e-07
2022-12-29,0
2022-12-30,0
2022-12-31,0
2023-01-01,0
2023-01-02,0
2023-01-03,0
2023-01-04,2.77915415e-08
2023-01-05,1.19205115e-05
2023-01-06,0.000125212144
2023-01-07,8.50543729e-05
2023-01-08,9.84449766e-09
2023-01-09,1.0265635e-06
2023-01-10,2.3524442e-06
2023-01-11,0
2023-01-12,2.12335781e-05
2023-01-13,6.78068536e-05
2023-01-14,6.21700019e-05
2023-01-15,1.07397254e-05
2023-01-16,4.61802119e-05
2023-01-17,5.07458708e-07
2023-01-18,1.27041929e-07
2023-01-19,0
2023-01-20,0
2023-01-21,0
2023-01-22,0
2023-01-23,0
2023-01-24,0
2023-01-25,0
2023-01-26,0
2023-01-27,0
2023-01-28,9.0595031e-06
2023-01-29,8.74190009e-05
2023-01-30,0.000181454656
2023-01-31,0.000398594217
2023-02-01,0.000387028558
2023-02-02,4.4123899e-05
2023-02-03,4.06335421e-05
2023-02-04,0.000361194689
2023-02-05,0.000320601277
2023-02-06,0.000409679371
2023-02-07,0.000295064412
2023-02-08,0.000112742789
2023-02-09,2.6240528e-07
2023-02-10,8.00365496e-10
2023-02-11,0
2023-02-12,4.01089455e-05
2023-02-13,1.3563631e-06
2023-02-14,1.46620778e-06
2023-02-15,1.10699702e-05
2023-02-16,1.87304705e-09
2023-02-17,0
2023-02-18,0
2023-02-19,0
2023-02-20,3.10252915e-07
2023-02-21,2.94497966e-07
2023-02-22,9.02957765e-07
2023-02-23,3.69150112e-05
2023-02-24,1.38078394e-05
2023-02-25,2.99319277e-06
2023-02-26,0
2023-02-27,0
2023-02-28,0
2023-03-01,0
2023-03-02,0
2023-03-03,7.51185141e-08
2023-03-04,0
2023-03-05,2.15051273e-07
2023-03-06,6.79749865e-05
2023-03-07,4.40353369e-06
2023-03-08,3.49027578e-05
2023-03-09,3.05305343e-06
2023-03-10,0
2023-03-11,0
2023-03-12,0
2023-03-13,5.28668352e-06
2023-03-14,5.3476233e-05
2023-03-15,0.000226888238
2023-03-16,2.9118662e-06
2023-03-17,1.01390096e-05
2023-03-18,9.05396882e-05
2023-03-19,0.000302693603
2023-03-20,2.47498119e-05
2023-03-21,4.67236168e-06
2023-03-22,4.60702374e-08
2023-03-23,5.81375673e-07
2023-03-24,7.5676445e-07
2023-03-25,6.65035332e-05
2023-03-26,1.24723929e-05
2023-03-27,1.52622545e-06
2023-03-28,0
2023-03-29,2.70604269e-05
2023-03-30,7.05902494e-05
2023-03-31,1.95367576e-07
2023-04-01,0
2023-04-02,1.4062066e-09
2023-04-03,0
2023-04-04,0
2023-04-05,1.47231694e-05
2023-04-06,8.98762664e-06
2023-04-07,0
2023-04-08,0
2023-04-09,0
2023-04-10,6.46860644e-06
2023-04-11,4.76229434e-05
2023-04-12,0.00052260462
2023-04-13,0.000264025439
2023-04-14,0
2023-04-15,0
2023-04-16,0
2023-04-17,3.81433097e-07
2023-04-18,2.6864339e-07
2023-04-19,1.34692345e-06
2023-04-20,5.95521851e-06
2023-04-21,2.43537261e-08
2023-04-22,0
2023-04-23,0
2023-04-24,0
2023-04-25,0
2023-04-26,0
2023-04-27,0
2023-04-28,8.06922835e-05
2023-04-29,0.000181176132
2023-04-30,7.27091028e-05
2023-05-01,2.66135339e-06
2023-05-02,0
2023-05-03,0
2023-05-04,0
2023-05-05,4.94121133e-10
2023-05-06,1.29094333e-05
2023-05-07,4.86035169e-05
2023-05-08,1.25013757e-05
2023-05-09,1.53688511e-08
2023-05-10,0
2023-05-11,1.13741328e-06
2023-05-12,1.24717212e-06
2023-05-13,1.55163332e-06
2023-05-14,6.43916565e-08
2023-05-15,0
2023-05-16,0
2023-05-17,0
2023-05-18,8.29744693e-07
2023-05-19,2.57252145e-06
2023-05-20,7.31603905e-06
2023-05-21,1.28403514e-07
2023-05-22,1.21188725e-06
2023-05-23,1.94612562e-06
2023-05-24,0
2023-05-25,0
2023-05-26,0
2023-05-27,1.36072947e-06
2023-05-28,2.32166476e-05
2023-05-29,2.17653039e-07
2023-05-30,6.7370145e-08
2023-05-31,0
2023-06-01,1.54988982e-06
2023-06-02,2.60631691e-06
2023-06-03,1.10980551e-07
2023-06-04,1.51740281e-07
2023-06-05,0
2023-06-06,0
2023-06-07,0
2023-06-08,2.0011727e-10
2023-06-09,3.3252843e-06
2023-06-10,0
2023-06-11,9.45109857e-09
2023-06-12,7.4931128e-09
2023-06-13,1.56316176e-07
2023-06-14,0
2023-06-15,7.19246657e-07
2023-06-16,0
2023-06-17,5.74139676e-06
2023-06-18,8.19765683e-06
2023-06-19,8.64887534e-06
2023-06-20,2.38360758e-06
2023-06-21,0
2023-06-22,0
2023-06-23,0
2023-06-24,0
2023-06-25,0
2023-06-26,0
2023-06-27,0
2023-06-28,0
2023-06-29,0
2023-06-30,0
2023-07-01,0
2023-07-02,7.49310036e-09
2023-07-03,0
2023-07-04,0
2023-07-05,5.1048346e-08
2023-07-06,3.39535866e-08
2023-07-07,3.77000262e-08
2023-07-08,0
2023-07-09,3.41063725e-07
2023-07-10,3.83578936e-07
2023-07-11,0
2023-07-12,0
2023-07-13,0
2023-07-14,0
2023-07-15,0
2023-07-16,0
2023-07-17,0
2023-07-18,0
2023-07-19,0
2023-07-20,0
2023-07-21,0
2023-07-22,0
2023-07-23,0
2023-07-24,0
2023-07-25,0
2023-07-26,0
2023-07-27,0
2023-07-28,0
2023-07-29,0
2023-07-30,0
2023-07-31,0
2023-08-01,0
2023-08-02,0
2023-08-03,0
2023-08-04,0
2023-08-05,0
2023-08-06,0
2023-08-07,5.10459977e-08
2023-08-08,1.38955784e-06
2023-08-09,4.66462176e-08
2023-08-10,7.92004414e-07
2023-08-11,2.71365792e-07
2023-08-12,9.38886122e-11
2023-08-13,3.15996499e-06
2023-08-14,2.84476425e-08
2023-08-15,1.70653436e-06
2023-08-16,2.21615878e-07
2023-08-17,1.35822049e-07
2023-08-18,5.64418713e-07
2023-08-19,1.70450119e-06
2023-08-20,1.72712259e-06
2023-08-21,2.59149733e-08
2023-08-22,0
2023-08-23,6.59084492e-07
2023-08-24,2.87412661e-07
2023-08-25,6.79024126e-08
2023-08-26,1.09581855e-07
2023-08-27,6.38791505e-07
2023-08-28,4.20963515e-05
2023-08-29,1.4384492e-06
2023-08-30,0
2023-08-31,0
2023-09-01,0
2023-09-02,0
2023-09-03,0
2023-09-04,1.75770953e-09
2023-09-05,0
2023-09-06,0
2023-09-07,0
2023-09-08,0
2023-09-09,1.34895981e-06
2023-09-10,3.15212151e-06
2023-09-11,0
2023-09-12,0
2023-09-13,4.80232387e-09
2023-09-14,0
2023-09-15,0
2023-09-16,0
2023-09-17,0
2023-09-18,0
2023-09-19,6.02106354e-07
2023-09-20,1.83133395e-07
2023-09-21,0
2023-09-22,0
2023-09-23,0
2023-09-24,0
2023-09-25,0
2023-09-26,0
2023-09-27,0
2023-09-28,0
2023-09-29,0
2023-09-30,6.95494236e-06
2023-10-01,4.62441931e-05
2023-10-02,5.59239452e-05
2023-10-03,5.5999426e-06
2023-10-04,4.16404919e-06
2023-10-05,6.79219738e-08
2023-10-06,0
2023-10-07,5.78668669e-08
2023-10-08,2.0202134e-07
2023-10-09,0
2023-10-10,1.33384137e-05
2023-10-11,3.92638412e-06
2023-10-12,1.29514785e-06
2023-10-13,3.40600337e-07
2023-10-14,7.09146116e-05
2023-10-15,0.00031721461
2023-10-16,0.000126871091
2023-10-17,4.9755505e-07
2023-10-18,2.07463981e-05
2023-10-19,3.35028781e-05
2023-10-20,1.65381016e-06
2023-10-21,0
2023-10-22,0
2023-10-23,0
2023-10-24,0
2023-10-25,0
2023-10-26,0
2023-10-27,4.65885153e-09
2023-10-28,1.87757851e-10
2023-10-29,2.55179056e-09
2023-10-30,0
2023-10-31,4.61369289e-08
2023-11-01,1.52063651e-09
2023-11-02,0
2023-11-03,1.33460576e-08
2023-11-04,0
2023-11-05,0
2023-11-06,0
