date,value
2022-05-01,293.259186
2022-05-02,293.947052
2022-05-03,296.613892
2022-05-04,293.08606
2022-05-05,291.789276
2022-05-06,292.133179
2022-05-07,292.530548
2022-05-08,293.136627
2022-05-09,294.260376
2022-05-10,294.49881
2022-05-11,294.024597
2022-05-12,293.378876
2022-05-13,294.913971
2022-05-14,298.497772
2022-05-15,295.335663
2022-05-16,293.631989
2022-05-17,294.486298
2022-05-18,295.15979
2022-05-19,295.641724
2022-05-20,296.744232
2022-05-21,299.1763
2022-05-22,294.575562
2022-05-23,294.957062
2022-05-24,295.56311
2022-05-25,296.035767
2022-05-26,297.151917
2022-05-27,298.094513
2022-05-28,299.488892
2022-05-29,299.273895
2022-05-30,299.489288
2022-05-31,298.463959
2022-06-01,296.677216
2022-06-02,296.534149
2022-06-03,296.553162
2022-06-04,297.381042
2022-06-05,298.125275
2022-06-06,297.985962
2022-06-07,297.79837
2022-06-08,298.24295
2022-06-09,298.765594
2022-06-10,299.488129
2022-06-11,300.977905
2022-06-12,298.495422
2022-06-13,297.769592
2022-06-14,297.9021
2022-06-15,298.042999
2022-06-16,298.949707
2022-06-17,300.079193
2022-06-18,300.197906
2022-06-19,298.558472
2022-06-20,297.937225
2022-06-21,297.983185
2022-06-22,298.870331
2022-06-23,300.315521
2022-06-24,300.924164
2022-06-25,299.169189
2022-06-26,299.672333
2022-06-27,300.030975
2022-06-28,299.839508
2022-06-29,299.945496
2022-06-30,299.975983
2022-07-01,300.01651
2022-07-02,300.214417
2022-07-03,300.416046
2022-07-04,300.970886
2022-07-05,300.920929
2022-07-06,300.268585
2022-07-07,300.007477
2022-07-08,299.947174
2022-07-09,300.198639
2022-07-10,300.160919
2022-07-11,299.71225
2022-07-12,299.972107
2022-07-13,300.762634
2022-07-14,300.585083
2022-07-15,300.311493
2022-07-16,299.921387
2022-07-17,300.363312
2022-07-18,301.091522
2022-07-19,302.324249
2022-07-20,302.233673
2022-07-21,301.218445
2022-07-22,301.670135
2022-07-23,301.949371
2022-07-24,302.048462
2022-07-25,302.299347
2022-07-26,302.211517
2022-07-27,302.194763
2022-07-28,302.720581
2022-07-29,302.98996
2022-07-30,301.843658
2022-07-31,300.907379
2022-08-01,300.954407
2022-08-02,301.238922
2022-08-03,301.090637
2022-08-04,301.645477
2022-08-05,301.813049
2022-08-06,301.53595
2022-08-07,301.037933
2022-08-08,300.576019
2022-08-09,301.326569
2022-08-10,301.568512
2022-08-11,301.55069
2022-08-12,301.164398
2022-08-13,300.857056
2022-08-14,301.116821
2022-08-15,300.820648
2022-08-16,301.120087
2022-08-17,301.025604
2022-08-18,300.514587
2022-08-19,300.633301
2022-08-20,301.061493
2022-08-21,301.556183
2022-08-22,301.202606
2022-08-23,300.94339
2022-08-24,300.69632
2022-08-25,302.348694
2022-08-26,301.735107
2022-08-27,301.900085
2022-08-28,302.399536
2022-08-29,302.505066
2022-08-30,302.355865
2022-08-31,302.039612
2022-09-01,301.592743
2022-09-02,302.011688
2022-09-03,301.583069
2022-09-04,301.113159
2022-09-05,300.720245
2022-09-06,300.753357
2022-09-07,300.86319
2022-09-08,301.878662
2022-09-09,301.879333
2022-09-10,301.549103
2022-09-11,301.022552
