date,value
2022-05-01,0.364683002
2022-05-02,0.364588022
2022-05-03,0.3645868
2022-05-04,0.364510268
2022-05-05,0.36508286
2022-05-06,0.3663508
2022-05-07,0.366067648
2022-05-08,0.365823179
2022-05-09,0.365491629
2022-05-10,0.365198404
2022-05-11,0.364935398
2022-05-12,0.364701778
2022-05-13,0.364490241
2022-05-14,0.364297479
2022-05-15,0.364135265
2022-05-16,0.36397779
2022-05-17,0.363828093
2022-05-18,0.363684773
2022-05-19,0.363550305
2022-05-20,0.363426
2022-05-21,0.363305658
2022-05-22,0.363246441
2022-05-23,0.364848107
2022-05-24,0.364600569
2022-05-25,0.364298552
2022-05-26,0.3640306
2022-05-27,0.363792539
2022-05-28,0.363575816
2022-05-29,0.363377243
2022-05-30,0.363198966
2022-05-31,0.363037229
2022-06-01,0.362892598
2022-06-02,0.362758249
2022-06-03,0.362632304
2022-06-04,0.36251381
2022-06-05,0.36240077
2022-06-06,0.362294227
2022-06-07,0.362196922
2022-06-08,0.362108231
2022-06-09,0.362020761
2022-06-10,0.361933827
2022-06-11,0.361847639
2022-06-12,0.361829728
2022-06-13,0.363223821
2022-06-14,0.363984555
2022-06-15,0.36365366
2022-06-16,0.363335729
2022-06-17,0.363053232
2022-06-18,0.362801671
2022-06-19,0.362576813
2022-06-20,0.362376571
2022-06-21,0.362214446
2022-06-22,0.362148255
2022-06-23,0.361990422
2022-06-24,0.36183849
2022-06-25,0.364830941
2022-06-26,0.365063429
2022-06-27,0.364491224
2022-06-28,0.364000946
2022-06-29,0.363577813
2022-06-30,0.363209397
2022-07-01,0.362887144
2022-07-02,0.36260429
2022-07-03,0.36235413
2022-07-04,0.36212793
2022-07-05,0.361923546
2022-07-06,0.361740679
2022-07-07,0.361576468
2022-07-08,0.361424118
2022-07-09,0.361283034
2022-07-10,0.361160487
2022-07-11,0.361193806
2022-07-12,0.361075044
2022-07-13,0.360951573
2022-07-14,0.360838264
2022-07-15,0.360735029
2022-07-16,0.360638171
2022-07-17,0.360545903
2022-07-18,0.360459238
2022-07-19,0.36037448
2022-07-20,0.36029458
2022-07-21,0.360222191
2022-07-22,0.360154599
2022-07-23,0.36008653
2022-07-24,0.360021025
2022-07-25,0.359957844
2022-07-26,0.359896421
2022-07-27,0.359837443
2022-07-28,0.359780282
2022-07-29,0.359724611
2022-07-30,0.359672874
2022-07-31,0.35962376
2022-08-01,0.35957706
2022-08-02,0.359534889
2022-08-03,0.359491348
2022-08-04,0.359446079
2022-08-05,0.359400541
2022-08-06,0.359356642
2022-08-07,0.359315902
2022-08-08,0.35927555
2022-08-09,0.359256238
2022-08-10,0.35938403
2022-08-11,0.359418988
2022-08-12,0.359356135
2022-08-13,0.359292597
2022-08-14,0.359245896
2022-08-15,0.359189391
2022-08-16,0.359131247
2022-08-17,0.359075159
2022-08-18,0.359022886
2022-08-19,0.3589755
2022-08-20,0.358930975
2022-08-21,0.358890295
2022-08-22,0.358849913
2022-08-23,0.358838946
2022-08-24,0.358821481
2022-08-25,0.358774543
