date,value
2022-05-01,300.063385
2022-05-02,301.367035
2022-05-03,303.561829
2022-05-04,300.811127
2022-05-05,298.843536
2022-05-06,300.44455
2022-05-07,300.286407
2022-05-08,301.633575
2022-05-09,300.998505
2022-05-10,302.927612
2022-05-11,302.318451
2022-05-12,302.286469
2022-05-13,302.485687
2022-05-14,303.559418
2022-05-15,304.013824
2022-05-16,301.027405
2022-05-17,303.672211
2022-05-18,304.704987
2022-05-19,305.297363
2022-05-20,303.838837
2022-05-21,306.410858
2022-05-22,302.276276
2022-05-23,302.01944
2022-05-24,302.810394
2022-05-25,304.704773
2022-05-26,305.07663
2022-05-27,305.683105
2022-05-28,307.61554
2022-05-29,307.849335
2022-05-30,308.197906
2022-05-31,307.325439
2022-06-01,306.828491
2022-06-02,306.996124
2022-06-03,306.96637
2022-06-04,307.376068
2022-06-05,307.989044
2022-06-06,307.666779
2022-06-07,306.761383
2022-06-08,306.170258
2022-06-09,307.537079
2022-06-10,308.580353
2022-06-11,309.765106
2022-06-12,307.617157
2022-06-13,306.466583
2022-06-14,306.778168
2022-06-15,308.076569
2022-06-16,307.738922
2022-06-17,308.106018
2022-06-18,309.797821
2022-06-19,308.393219
2022-06-20,307.787354
2022-06-21,306.431396
2022-06-22,307.620453
2022-06-23,308.672028
2022-06-24,308.932739
2022-06-25,308.148712
2022-06-26,307.699249
2022-06-27,308.741241
2022-06-28,309.609192
2022-06-29,310.132233
2022-06-30,310.397247
2022-07-01,309.858124
2022-07-02,309.28067
2022-07-03,309.820953
2022-07-04,310.383331
2022-07-05,309.434052
2022-07-06,308.759674
2022-07-07,308.766571
2022-07-08,309.503632
2022-07-09,309.442535
2022-07-10,308.52597
2022-07-11,309.520905
2022-07-12,310.364899
2022-07-13,310.437469
2022-07-14,310.116058
2022-07-15,309.14859
2022-07-16,309.599152
2022-07-17,309.800446
2022-07-18,310.6633
2022-07-19,311.812317
2022-07-20,311.093781
2022-07-21,309.853943
2022-07-22,310.503937
2022-07-23,311.271545
2022-07-24,311.153778
2022-07-25,311.620453
2022-07-26,311.705078
2022-07-27,311.869446
2022-07-28,312.593719
2022-07-29,312.744781
2022-07-30,311.967072
2022-07-31,311.20755
2022-08-01,310.426056
2022-08-02,310.601654
2022-08-03,310.95755
2022-08-04,311.690063
2022-08-05,312.175812
2022-08-06,310.752869
2022-08-07,310.056366
2022-08-08,309.541809
2022-08-09,310.062958
2022-08-10,310.016876
2022-08-11,310.053711
2022-08-12,310.541046
2022-08-13,309.478485
2022-08-14,309.166046
2022-08-15,309.732056
2022-08-16,310.255035
2022-08-17,310.591309
2022-08-18,309.918304
