date,meteostat_value,evapotranspiration_value,runoff_value,radio-temp-min_value,sat_value,soil-moist_value,soil-temp_value
2022-05-28,0.0,3.31976331e-08,0.0,322.874878,299.273895,0.363377243,307.61554
2022-05-30,0.0,3.15902469e-08,0.0,322.315613,298.463959,0.363037229,308.197906
2022-06-01,0.0,2.55081503e-08,0.0,318.924042,296.534149,0.362758249,306.828491
2022-06-08,0.0,2.20524754e-08,0.0,316.91922,298.765594,0.362020761,306.170258
2022-06-09,0.0,2.88481754e-08,0.0,320.285767,299.488129,0.361933827,307.537079
2022-06-12,0.2,2.52130707e-08,1.32766336e-05,318.224762,297.769592,0.363223821,307.617157
2022-06-13,4.9,2.32714754e-08,4.82064643e-05,317.243195,297.9021,0.363984555,306.466583
2022-06-14,0.5,2.4109843e-08,2.20120137e-06,317.834473,298.042999,0.36365366,306.778168
2022-06-16,0.0,2.60265978e-08,0.0,319.936157,300.079193,0.363053232,307.738922
2022-06-19,0.0,2.8095009e-08,0.0,319.959167,297.937225,0.362376571,308.393219
2022-06-20,0.0,2.77502181e-08,0.0,319.966522,297.983185,0.362214446,307.787354
2022-06-25,4.5,2.74719341e-08,9.70623805e-05,319.290741,299.672333,0.365063429,308.148712
2022-06-27,0.0,3.03849994e-08,3.90678885e-08,320.450836,299.839508,0.364000946,308.741241
2022-07-03,0.0,2.92303e-08,0.0,321.799133,300.970886,0.36212793,309.820953
2022-07-04,0.0,3.27136185e-08,0.0,323.108368,300.920929,0.361923546,310.383331
2022-07-10,0.0,2.57425423e-08,9.42820009e-07,319.288727,299.71225,0.361193806,308.52597
2022-07-13,0.0,3.15139381e-08,0.0,322.949677,300.585083,0.360838264,310.437469
2022-07-17,0.0,2.98269036e-08,0.0,321.661713,301.091522,0.360459238,309.800446
2022-07-22,0.0,3.23519771e-08,0.0,322.710876,301.949371,0.36008653,310.503937
2022-07-27,0.0,3.60733914e-08,0.0,324.616547,302.720581,0.359780282,311.869446
2022-07-30,0.0,3.43618183e-08,0.0,324.30954,300.907379,0.35962376,311.967072
2022-07-31,0.0,3.28220651e-08,0.0,323.203644,300.954407,0.35957706,311.20755
2022-08-04,0.0,3.2475004e-08,0.0,324.592316,301.813049,0.359400541,311.690063
2022-08-05,0.0,3.34232801e-08,0.0,324.556641,301.53595,0.359356642,312.175812
2022-08-07,0.0,2.9681992e-08,0.0,321.542114,300.576019,0.35927555,310.056366
2022-08-09,0.4,3.02903764e-08,2.085402e-06,321.638702,301.568512,0.35938403,310.062958
2022-08-10,0.3,2.90542417e-08,3.68599217e-06,321.387115,301.55069,0.359418988,310.016876
2022-08-11,0.0,2.87100672e-08,1.28116164e-06,321.31604,301.164398,0.359356135,310.053711
2022-08-17,0.0,3.31604824e-08,0.0,323.420837,300.514587,0.359022886,310.591309
2022-08-22,0.0,2.52593821e-08,4.82412936e-08,319.513519,300.94339,0.358838946,308.923706
2022-08-23,0.2,2.73154139e-08,9.32123385e-07,320.486389,300.69632,0.358821481,309.377014
2022-08-26,0.0,3.03915613e-08,0.0,322.745819,301.900085,0.358684987,310.115265
2022-08-30,0.6,2.98789153e-08,0.0,323.877625,302.039612,0.358525157,310.713409
2022-08-31,1.3,2.90694775e-08,2.85438659e-08,323.915405,301.592743,0.358523488,311.089569
2022-09-01,1.0,2.83196613e-08,1.38833002e-06,322.166626,302.011688,0.358530164,310.758759
2022-09-04,0.0,2.66818869e-08,4.92855122e-07,321.501831,300.720245,0.358433038,310.343018
2022-09-05,0.0,2.53360497e-08,2.66970037e-08,320.125763,300.753357,0.358400077,309.088928
2022-09-09,0.0,2.78956751e-08,0.0,320.199188,301.549103,0.358256191,308.749298
2022-09-14,0.0,2.3755506e-08,3.08008202e-06,316.972626,299.847717,0.358311772,307.066193
2022-09-15,0.0,2.80905628e-08,2.46453933e-08,319.733826,300.25119,0.358251661,307.688965
2022-09-18,0.0,2.60814303e-08,7.49306395e-09,320.066254,299.734314,0.358140916,308.253876
2022-09-19,0.0,2.04295478e-08,2.3541977e-06,314.72287,299.794952,0.35818398,306.737091
2022-09-20,0.8,2.39173232e-08,2.28120712e-06,318.175507,299.672241,0.358206719,307.310608
2022-09-27,0.0,2.64874576e-08,0.0,318.420013,299.409454,0.357878059,306.180023
2022-10-02,0.0,2.10558682e-08,0.0,317.504517,300.304291,0.357679725,306.530243
2022-10-07,0.0,2.04641193e-08,1.5690226e-07,313.728638,297.93811,0.35769093,304.794891
2022-10-08,0.1,2.11366284e-08,1.05329345e-05,314.18924,298.141815,0.358238816,304.280182
2022-10-09,0.0,2.19860095e-08,1.11928593e-05,314.867676,297.953247,0.358416766,304.38028
