date,tb-night
2022-05-01,283.979994
2022-05-02,252.279994
2022-05-03,286.679994
2022-05-04,282.379994
2022-05-05,265.319994
2022-05-06,281.669994
2022-05-07,285.789994
2022-05-08,281.959994
2022-05-09,283.189994
2022-05-10,285.259994
2022-05-11,278.029994
2022-05-12,284.969994
2022-05-13,284.639994
2022-05-14,239.909995
2022-05-15,286.209994
2022-05-16,279.189994
2022-05-17,290.769994
2022-05-18,289.329994
2022-05-19,289.959994
2022-05-20,272.359994
2022-05-21,252.689994
2022-05-22,282.349994
2022-05-23,289.169994
2022-05-24,288.009994
2022-05-25,288.719994
2022-05-26,290.699994
2022-05-27,287.729994
2022-05-28,287.959994
2022-05-29,289.929994
2022-05-30,290.019994
2022-05-31,292.109993
2022-06-01,288.399994
2022-06-02,291.149993
2022-06-03,290.709994
2022-06-04,293.089993
2022-06-05,292.029993
2022-06-06,290.539994
2022-06-07,291.539993
2022-06-08,292.509993
2022-06-09,294.419993
2022-06-10,286.779994
2022-06-11,289.729994
2022-06-12,285.169994
2022-06-13,286.599994
2022-06-14,291.719993
2022-06-15,291.959993
2022-06-16,292.609993
2022-06-17,295.889993
2022-06-18,294.079993
2022-06-19,291.549993
2022-06-20,288.929994
2022-06-21,286.639994
2022-06-22,289.089994
2022-06-23,295.289993
2022-06-24,291.179993
2022-06-25,294.249993
2022-06-26,288.469994
2022-06-27,292.779993
2022-06-28,294.539993
2022-06-29,291.829993
2022-06-30,286.489994
2022-07-01,282.719994
2022-07-02,296.249993
2022-07-03,295.979993
2022-07-04,296.119993
2022-07-05,292.499993
2022-07-06,296.159993
2022-07-07,297.029993
2022-07-08,292.989993
2022-07-09,295.649993
2022-07-10,290.429994
2022-07-11,291.139993
2022-07-12,295.919993
2022-07-13,297.549993
2022-07-14,296.919993
2022-07-15,289.439994
2022-07-16,-9999
2022-07-17,297.979993
2022-07-18,296.539993
2022-07-19,297.859993
2022-07-20,296.409993
2022-07-21,296.939993
2022-07-22,293.889993
2022-07-23,298.299993
2022-07-24,297.179993
2022-07-25,297.489993
2022-07-26,297.029993
2022-07-27,297.089993
2022-07-28,299.219993
2022-07-29,298.459993
2022-07-30,297.079993
2022-07-31,287.829994
2022-08-01,296.319993
2022-08-02,297.069993
2022-08-03,295.019993
2022-08-04,298.109993
2022-08-05,296.079993
2022-08-06,297.979993
2022-08-07,293.979993
2022-08-08,292.209993
2022-08-09,292.879993
2022-08-10,291.489993
2022-08-11,286.739994
2022-08-12,290.409994
2022-08-13,294.999993
2022-08-14,295.299993
2022-08-15,296.369993
2022-08-16,296.059993
2022-08-17,294.369993
2022-08-18,295.169993
2022-08-19,293.749993
2022-08-20,298.289993
2022-08-21,296.629993
2022-08-22,294.219993
2022-08-23,292.519993
2022-08-24,-9999
2022-08-25,299.039993
2022-08-26,295.759993
2022-08-27,298.449993
2022-08-28,296.229993
2022-08-29,297.629993
2022-08-30,295.009993
2022-08-31,293.549993
2022-09-01,288.369994
2022-09-02,288.399994
2022-09-03,296.139993
2022-09-04,296.579993
2022-09-05,295.299993
2022-09-06,291.289993
2022-09-07,293.559993
2022-09-08,298.819993
2022-09-09,296.969993
2022-09-10,292.469993
2022-09-11,292.029993
2022-09-12,296.669993
2022-09-13,289.949994
