date,date,value,actual
2022-05-28,2022-05-28,0.07895171,0.0
2022-05-29,2022-05-29,0.033725634,0.0
2022-05-30,2022-05-30,0.0,0.0
2022-05-31,2022-05-31,0.0,0.0
2022-06-01,2022-06-01,0.1060166,0.0
2022-06-02,2022-06-02,0.4673274,0.0
2022-06-04,2022-06-04,0.0,0.0
2022-06-06,2022-06-06,0.0,0.0
2022-06-07,2022-06-07,0.032220595,0.0
2022-06-08,2022-06-08,0.038194075,0.0
2022-06-09,2022-06-09,0.0,0.0
2022-06-11,2022-06-11,0.0078826435,0.0
2022-06-12,2022-06-12,0.0,0.2
2022-06-13,2022-06-13,3.4606903,4.9
2022-06-14,2022-06-14,0.8593488,0.5
2022-06-15,2022-06-15,0.0814129,0.0
2022-06-17,2022-06-17,0.0,0.0
2022-06-18,2022-06-18,0.0,0.0
2022-06-19,2022-06-19,0.0,0.0
2022-06-20,2022-06-20,0.0,0.0
2022-06-21,2022-06-21,0.061730675,0.0
2022-06-22,2022-06-22,0.29751572,0.0
2022-06-23,2022-06-23,0.0,0.0
2022-06-25,2022-06-25,1.4464607,4.5
2022-06-26,2022-06-26,0.056531295,0.0
2022-06-27,2022-06-27,0.06584609,0.0
2022-06-29,2022-06-29,0.0,0.0
2022-06-30,2022-06-30,0.26921633,0.0
2022-07-02,2022-07-02,0.16488563,0.0
2022-07-03,2022-07-03,0.08380721,0.0
2022-07-04,2022-07-04,0.0,0.0
2022-07-05,2022-07-05,0.0,0.0
2022-07-06,2022-07-06,0.16488563,0.0
2022-07-07,2022-07-07,0.0,0.0
2022-07-09,2022-07-09,0.0,0.0
2022-07-10,2022-07-10,0.0,0.0
2022-07-11,2022-07-11,0.0,0.0
2022-07-12,2022-07-12,0.0,0.0
2022-07-13,2022-07-13,0.0,0.0
2022-07-14,2022-07-14,0.0,0.0
2022-07-15,2022-07-15,0.012413111,0.0
2022-07-16,2022-07-16,0.0,0.0
2022-07-17,2022-07-17,0.92944396,0.0
2022-07-18,2022-07-18,0.0,0.0
2022-07-20,2022-07-20,0.0,0.0
2022-07-21,2022-07-21,0.0,0.0
2022-07-22,2022-07-22,0.0,0.0
2022-07-23,2022-07-23,0.0,0.0
2022-07-24,2022-07-24,0.0,0.0
2022-07-25,2022-07-25,0.24143355,0.0
2022-07-27,2022-07-27,0.0,0.0
2022-07-30,2022-07-30,0.0,0.0
2022-07-31,2022-07-31,0.58350605,0.0
2022-08-01,2022-08-01,0.0,0.0
2022-08-02,2022-08-02,0.0,0.0
2022-08-03,2022-08-03,0.0,0.0
2022-08-04,2022-08-04,0.31568232,0.0
2022-08-05,2022-08-05,0.8906645,0.0
2022-08-07,2022-08-07,0.10069549,0.0
2022-08-08,2022-08-08,1.055421,0.0
2022-08-09,2022-08-09,0.25612694,0.4
2022-08-10,2022-08-10,0.17600481,0.3
2022-08-11,2022-08-11,0.0,0.0
2022-08-12,2022-08-12,0.0,0.0
2022-08-13,2022-08-13,0.0,0.0
2022-08-14,2022-08-14,0.10069549,0.0
2022-08-15,2022-08-15,0.0,0.0
2022-08-19,2022-08-19,0.0,0.0
2022-08-20,2022-08-20,0.09543429,0.0
2022-08-21,2022-08-21,0.011613783,0.0
2022-08-22,2022-08-22,0.82452613,0.0
2022-08-23,2022-08-23,0.14763989,0.2
2022-08-26,2022-08-26,0.0,0.0
2022-08-27,2022-08-27,0.0,0.0
2022-08-29,2022-08-29,0.0,0.0
2022-08-30,2022-08-30,0.0,0.6
2022-09-01,2022-09-01,0.0715383,1.0
2022-09-02,2022-09-02,0.0,0.0
2022-09-03,2022-09-03,0.088635355,0.0
2022-09-04,2022-09-04,0.26250032,0.0
2022-09-05,2022-09-05,0.027248135,0.0
2022-09-06,2022-09-06,0.0,0.0
2022-09-07,2022-09-07,0.35511762,0.0
2022-09-08,2022-09-08,0.14763989,0.0
2022-09-12,2022-09-12,0.0,0.0
2022-09-13,2022-09-13,0.9785852,0.0
2022-09-18,2022-09-18,0.0,0.0
2022-09-19,2022-09-19,0.77943623,0.0
2022-09-20,2022-09-20,0.5218449,0.8
2022-09-21,2022-09-21,0.0,0.0
2022-09-22,2022-09-22,0.0,0.0
2022-09-23,2022-09-23,0.08519476,0.0
2022-09-29,2022-09-29,0.8975502,0.0
2022-10-01,2022-10-01,0.0,0.0
2022-10-02,2022-10-02,0.0,0.0
2022-10-03,2022-10-03,0.0,0.0
2022-10-04,2022-10-04,0.19794391,0.0
2022-10-05,2022-10-05,0.00240848,0.0
2022-10-07,2022-10-07,0.0,0.0
2022-10-08,2022-10-08,0.14202264,0.1
2022-10-09,2022-10-09,0.21767637,0.0
2022-10-10,2022-10-10,0.0,0.0
2022-10-12,2022-10-12,0.0,0.0
2022-10-13,2022-10-13,0.2368284,0.2
2022-10-14,2022-10-14,0.62402064,0.1
2022-10-15,2022-10-15,0.9728984,0.0
2022-10-16,2022-10-16,3.6605804,3.6
2022-10-17,2022-10-17,0.8002716,0.3
2022-10-18,2022-10-18,0.0,0.1
2022-10-19,2022-10-19,0.22469428,0.0
2022-10-20,2022-10-20,1.2651887,0.5
2022-10-21,2022-10-21,0.23206423,0.1
2022-10-22,2022-10-22,0.02527407,0.0
2022-10-23,2022-10-23,4.814276,5.2
2022-10-24,2022-10-24,2.0686908,4.1
2022-10-26,2022-10-26,0.33659786,1.0
2022-10-27,2022-10-27,0.0,0.0
2022-10-28,2022-10-28,1.5356829,0.0
2022-10-29,2022-10-29,0.20153606,0.0
2022-10-30,2022-10-30,0.0,0.0
2022-10-31,2022-10-31,0.08969195,0.6
