date,ctp-night
2022-05-01,832.200012
2022-05-02,459.200007
2022-05-03,868.800013
2022-05-04,840.700013
2022-05-05,648.30001
2022-05-06,861.900013
2022-05-07,916.500014
2022-05-08,817.000012
2022-05-09,822.700012
2022-05-10,902.600013
2022-05-11,805.100012
2022-05-12,853.600013
2022-05-13,791.800012
2022-05-14,350.800005
2022-05-15,887.000013
2022-05-16,783.700012
2022-05-17,960.000014
2022-05-18,915.400014
2022-05-19,941.900014
2022-05-20,668.30001
2022-05-21,419.300006
2022-05-22,832.200012
2022-05-23,921.600014
2022-05-24,885.200013
2022-05-25,876.400013
2022-05-26,879.100013
2022-05-27,788.600012
2022-05-28,815.500012
2022-05-29,824.100012
2022-05-30,816.100012
2022-05-31,895.100013
2022-06-01,800.200012
2022-06-02,910.800014
2022-06-03,874.500013
2022-06-04,950.000014
2022-06-05,911.000014
2022-06-06,890.100013
2022-06-07,907.400014
2022-06-08,934.000014
2022-06-09,960.000014
2022-06-10,747.600011
2022-06-11,810.500012
2022-06-12,801.500012
2022-06-13,834.600012
2022-06-14,923.000014
2022-06-15,895.700013
2022-06-16,868.900013
2022-06-17,973.300015
2022-06-18,936.400014
2022-06-19,840.600013
2022-06-20,794.900012
2022-06-21,818.400012
2022-06-22,813.300012
2022-06-23,948.300014
2022-06-24,861.700013
2022-06-25,951.600014
2022-06-26,846.700013
2022-06-27,913.900014
2022-06-28,934.100014
2022-06-29,838.500012
2022-06-30,766.400011
2022-07-01,683.70001
2022-07-02,966.200014
2022-07-03,942.000014
2022-07-04,939.600014
2022-07-05,879.500013
2022-07-06,964.700014
2022-07-07,976.600015
2022-07-08,842.300013
2022-07-09,960.600014
2022-07-10,822.300012
2022-07-11,832.300012
2022-07-12,941.000014
2022-07-13,985.000015
2022-07-14,967.000014
2022-07-15,798.900012
2022-07-16,-9999
2022-07-17,941.600014
2022-07-18,958.400014
2022-07-19,952.200014
2022-07-20,949.600014
2022-07-21,954.600014
2022-07-22,878.100013
2022-07-23,980.800015
2022-07-24,928.900014
2022-07-25,960.000014
2022-07-26,930.600014
