date,tb-day
2022-05-01,287.949994
2022-05-02,245.119995
2022-05-03,288.809994
2022-05-04,284.629994
2022-05-05,276.709994
2022-05-06,283.329994
2022-05-07,283.119994
2022-05-08,283.159994
2022-05-09,277.449994
2022-05-10,288.319994
2022-05-11,281.349994
2022-05-12,258.829994
2022-05-13,285.149994
2022-05-14,252.629994
2022-05-15,288.169994
2022-05-16,261.779994
2022-05-17,290.509994
2022-05-18,289.749994
2022-05-19,292.589993
2022-05-20,272.359994
2022-05-21,246.859994
2022-05-22,285.599994
2022-05-23,289.679994
2022-05-24,289.709994
2022-05-25,289.309994
2022-05-26,292.909993
2022-05-27,287.789994
2022-05-28,281.039994
2022-05-29,290.909993
2022-05-30,291.019993
2022-05-31,292.979993
2022-06-01,289.299994
2022-06-02,286.129994
2022-06-03,291.529993
2022-06-04,293.799993
2022-06-05,292.029993
2022-06-06,290.849993
2022-06-07,292.489993
2022-06-08,293.089993
2022-06-09,295.429993
2022-06-10,286.779994
2022-06-11,294.089993
2022-06-12,286.719994
2022-06-13,287.189994
2022-06-14,290.689994
2022-06-15,291.849993
2022-06-16,292.609993
2022-06-17,296.379993
2022-06-18,297.469993
2022-06-19,291.649993
2022-06-20,291.079993
2022-06-21,289.459994
2022-06-22,290.199994
2022-06-23,292.469993
2022-06-24,291.599993
2022-06-25,291.529993
2022-06-26,290.609994
2022-06-27,292.969993
2022-06-28,294.169993
2022-06-29,295.029993
2022-06-30,292.629993
2022-07-01,293.519993
2022-07-02,296.029993
2022-07-03,296.699993
2022-07-04,297.159993
2022-07-05,295.199993
2022-07-06,296.249993
2022-07-07,296.229993
2022-07-08,293.519993
2022-07-09,297.029993
2022-07-10,292.499993
2022-07-11,292.629993
2022-07-12,296.509993
2022-07-13,297.959993
2022-07-14,297.229993
2022-07-15,293.539993
2022-07-16,298.099993
2022-07-17,296.239993
2022-07-18,297.829993
2022-07-19,297.859993
2022-07-20,298.479993
2022-07-21,297.299993
2022-07-22,297.409993
2022-07-23,297.889993
2022-07-24,297.609993
2022-07-25,298.339993
2022-07-26,297.359993
2022-07-27,299.839993
2022-07-28,299.079993
2022-07-29,298.459993
2022-07-30,297.239993
2022-07-31,289.149994
2022-08-01,297.259993
2022-08-02,297.019993
2022-08-03,296.009993
2022-08-04,299.039993
2022-08-05,297.259993
2022-08-06,298.229993
2022-08-07,294.559993
2022-08-08,292.469993
2022-08-09,293.699993
2022-08-10,294.489993
2022-08-11,294.679993
2022-08-12,293.609993
2022-08-13,295.229993
2022-08-14,295.489993
2022-08-15,296.689993
2022-08-16,296.059993
2022-08-17,295.199993
2022-08-18,295.169993
2022-08-19,296.279993
2022-08-20,296.689993
2022-08-21,295.129993
2022-08-22,294.599993
2022-08-23,292.479993
2022-08-24,299.619993
2022-08-25,299.279993
2022-08-26,296.459993
2022-08-27,298.289993
2022-08-28,296.229993
2022-08-29,297.909993
2022-08-30,295.729993
2022-08-31,282.869994
2022-09-01,290.409994
2022-09-02,287.009994
2022-09-03,295.729993
2022-09-04,296.249993
2022-09-05,296.119993
2022-09-06,292.649993
2022-09-07,292.449993
2022-09-08,294.969993
2022-09-09,296.969993
2022-09-10,292.899993
2022-09-11,292.029993
2022-09-12,296.839993
2022-09-13,291.969993
2022-09-14,292.129993
2022-09-15,288.979994
2022-09-16,294.929993
2022-09-17,297.229993
2022-09-18,293.139993
2022-09-19,289.459994
2022-09-20,291.339993
2022-09-21,292.049993
2022-09-22,292.229993
2022-09-23,292.499993
2022-09-24,291.559993
2022-09-25,292.829993
2022-09-26,290.379994
2022-09-27,291.009993
2022-09-28,292.159993
2022-09-29,297.649993
2022-09-30,298.519993
2022-10-01,297.149993
2022-10-02,297.929993
2022-10-03,294.129993
2022-10-04,292.169993
2022-10-05,292.219993
2022-10-06,292.259993
2022-10-07,291.639993
2022-10-08,288.489994
2022-10-09,289.409994
2022-10-10,292.249993
2022-10-11,293.669993
2022-10-12,275.229994
2022-10-13,289.909994
2022-10-14,288.729994
2022-10-15,285.209994
2022-10-16,268.219994
2022-10-17,290.149994
2022-10-18,288.009994
2022-10-19,279.559994
2022-10-20,287.459994
2022-10-21,290.669994
2022-10-22,288.899994
2022-10-23,286.109994
2022-10-24,290.909993
2022-10-25,262.589994
