b650nm,date
1754.0,2022-05-01
2127.0,2022-05-02
1147.0,2022-05-03
2366.0,2022-05-04
1580.0,2022-05-05
2177.0,2022-05-06
1630.0,2022-05-07
1913.0,2022-05-08
9034.0,2022-05-09
1307.0,2022-05-10
2135.0,2022-05-11
1647.0,2022-05-12
2306.0,2022-05-13
1858.0,2022-05-14
3096.0,2022-05-15
2544.0,2022-05-16
2005.0,2022-05-17
2186.0,2022-05-18
1708.0,2022-05-19
2326.0,2022-05-20
1775.0,2022-05-21
2692.0,2022-05-22
1875.0,2022-05-23
2040.0,2022-05-24
2083.0,2022-05-25
1176.0,2022-05-26
2230.0,2022-05-27
1442.0,2022-05-28
2102.0,2022-05-29
1679.0,2022-05-30
2109.0,2022-05-31
2185.0,2022-06-01
4142.0,2022-06-02
2209.0,2022-06-03
1497.0,2022-06-04
2400.0,2022-06-05
1561.0,2022-06-06
2123.0,2022-06-07
1896.0,2022-06-08
1844.0,2022-06-09
2179.0,2022-06-10
1056.0,2022-06-11
6661.0,2022-06-12
1806.0,2022-06-13
4490.0,2022-06-14
1773.0,2022-06-15
1898.0,2022-06-16
1913.0,2022-06-17
1682.0,2022-06-18
2481.0,2022-06-19
1544.0,2022-06-20
2416.0,2022-06-21
1591.0,2022-06-22
2225.0,2022-06-23
1957.0,2022-06-24
5573.0,2022-06-25
2190.0,2022-06-26
1046.0,2022-06-27
2445.0,2022-06-28
1639.0,2022-06-29
2286.0,2022-06-30
1805.0,2022-07-01
2080.0,2022-07-02
2080.0,2022-07-03
1505.0,2022-07-04
2314.0,2022-07-05
1469.0,2022-07-06
2218.0,2022-07-07
1536.0,2022-07-08
2240.0,2022-07-09
1987.0,2022-07-10
2043.0,2022-07-11
2248.0,2022-07-12
1324.0,2022-07-13
2489.0,2022-07-14
2121.0,2022-07-15
2283.0,2022-07-16
1716.0,2022-07-17
2191.0,2022-07-18
2084.0,2022-07-19
2108.0,2022-07-20
2018.0,2022-07-21
1417.0,2022-07-22
2497.0,2022-07-23
1896.0,2022-07-24
2299.0,2022-07-25
1797.0,2022-07-26
1962.0,2022-07-27
2118.0,2022-07-28
1351.0,2022-07-29
2362.0,2022-07-30
1702.0,2022-07-31
2430.0,2022-08-01
1962.0,2022-08-02
2178.0,2022-08-03
2298.0,2022-08-04
1957.0,2022-08-05
2033.0,2022-08-06
1299.0,2022-08-07
2556.0,2022-08-08
1626.0,2022-08-09
2369.0,2022-08-10
2012.0,2022-08-11
2218.0,2022-08-12
2156.0,2022-08-13
1307.0,2022-08-14
2231.0,2022-08-15
1410.0,2022-08-16
2347.0,2022-08-17
1793.0,2022-08-18
2052.0,2022-08-19
2103.0,2022-08-20
1888.0,2022-08-21
2129.0,2022-08-22
1696.0,2022-08-23
2364.0,2022-08-24
1755.0,2022-08-25
2334.0,2022-08-26
1838.0,2022-08-27
2017.0,2022-08-28
3241.0,2022-08-29
1232.0,2022-08-30
2173.0,2022-08-31
2699.0,2022-09-01
2225.0,2022-09-02
2005.0,2022-09-03
2204.0,2022-09-04
1887.0,2022-09-05
2332.0,2022-09-06
2242.0,2022-09-07
1365.0,2022-09-08
2345.0,2022-09-09
1630.0,2022-09-10
2168.0,2022-09-11
1906.0,2022-09-12
2444.0,2022-09-13
2008.0,2022-09-14
1158.0,2022-09-15
2093.0,2022-09-16
1483.0,2022-09-17
2327.0,2022-09-18
5426.0,2022-09-19
2565.0,2022-09-20
1993.0,2022-09-21
2257.0,2022-09-22
1806.0,2022-09-23
1567.0,2022-09-24
2154.0,2022-09-25
1687.0,2022-09-26
2109.0,2022-09-27
1924.0,2022-09-28
2175.0,2022-09-29
1961.0,2022-09-30
1306.0,2022-10-01
2093.0,2022-10-02
1647.0,2022-10-03
2266.0,2022-10-04
2732.0,2022-10-05
1834.0,2022-10-06
1948.0,2022-10-07
2893.0,2022-10-08
2173.0,2022-10-09
1336.0,2022-10-10
,2022-10-23
1202.0,2022-10-24
2092.0,2022-10-25
6450.0,2022-10-26
1792.0,2022-10-27
1755.0,2022-10-28
1072.0,2022-10-29
1984.0,2022-10-30
1113.0,2022-10-31
2056.0,2022-11-01
1777.0,2022-11-02
2010.0,2022-11-03
1939.0,2022-11-04
1335.0,2022-11-05
2064.0,2022-11-06
1809.0,2022-11-07
2283.0,2022-11-08
10050.0,2022-11-09
