date,thck
2022-05-01,6.87999985
2022-05-02,-9999
2022-05-03,-9999
2022-05-04,7.16999984
2022-05-05,7.55999983
2022-05-06,14.2399997
2022-05-07,10.1899998
2022-05-08,19.5599996
2022-05-09,9.0599998
2022-05-10,8.54999981
2022-05-11,4.06999991
2022-05-12,3.41999992
2022-05-13,-9999
2022-05-14,2.47999994
2022-05-15,16.5799996
2022-05-16,1.83999996
2022-05-17,2.32999995
2022-05-18,1.96999996
2022-05-19,-9999
2022-05-20,-9999
2022-05-21,3.05999993
2022-05-22,12.3799997
2022-05-23,3.99999991
2022-05-24,5.66999987
2022-05-25,-9999
2022-05-26,-9999
2022-05-27,-9999
2022-05-28,5.70999987
2022-05-29,2.97999993
2022-05-30,5.66999987
2022-05-31,2.70999994
2022-06-01,2.01999995
2022-06-02,26.6799994
2022-06-03,-9999
2022-06-04,-9999
2022-06-05,-9999
2022-06-06,2.06999995
2022-06-07,21.3699995
2022-06-08,2.48999994
2022-06-09,-9999
2022-06-10,-9999
2022-06-11,3.14999993
2022-06-12,9.0099998
2022-06-13,15.2499997
2022-06-14,22.9299995
2022-06-15,10.8699998
2022-06-16,-9999
2022-06-17,-9999
2022-06-18,-9999
2022-06-19,14.9299997
2022-06-20,4.00999991
2022-06-21,7.47999983
2022-06-22,5.31999988
2022-06-23,30.1599993
2022-06-24,-9999
2022-06-25,14.3399997
2022-06-26,4.05999991
2022-06-27,19.6199996
2022-06-28,-9999
2022-06-29,-9999
2022-06-30,15.0899997
2022-07-01,-9999
2022-07-02,4.3699999
2022-07-03,4.99999989
2022-07-04,-9999
2022-07-05,1.85999996
2022-07-06,4.23999991
2022-07-07,-9999
2022-07-08,-9999
2022-07-09,2.06999995
2022-07-10,2.60999994
2022-07-11,10.5799998
2022-07-12,10.0299998
2022-07-13,-9999
2022-07-14,-9999
2022-07-15,7.41999983
2022-07-16,-9999
2022-07-17,2.94999993
2022-07-18,3.37999992
2022-07-19,-9999
2022-07-20,-9999
2022-07-21,2.01999995
2022-07-22,-9999
2022-07-23,-9999
2022-07-24,-9999
2022-07-25,-9999
2022-07-26,-9999
2022-07-27,-9999
2022-07-28,-9999
2022-07-29,-9999
2022-07-30,32.8199993
2022-07-31,15.6699996
2022-08-01,10.1499998
2022-08-02,5.04999989
2022-08-03,-9999
2022-08-04,4.20999991
2022-08-05,16.8199996
2022-08-06,-9999
2022-08-07,9.64999978
2022-08-08,18.5299996
2022-08-09,6.68999985
2022-08-10,12.5199997
2022-08-11,3.67999992
2022-08-12,7.15999984
2022-08-13,12.0299997
2022-08-14,9.92999978
2022-08-15,-9999
2022-08-16,-9999
2022-08-17,-9999
2022-08-18,-9999
2022-08-19,5.13999989
2022-08-20,9.49999979
2022-08-21,8.04999982
2022-08-22,12.7199997
2022-08-23,10.6399998
2022-08-24,-9999
2022-08-25,-9999
2022-08-26,-9999
2022-08-27,3.18999993
2022-08-28,-9999
2022-08-29,-9999
2022-08-30,-9999
2022-08-31,26.4799994
2022-09-01,9.36999979
2022-09-02,12.7899997
2022-09-03,7.47999983
2022-09-04,15.1199997
2022-09-05,11.9999997
2022-09-06,6.80999985
2022-09-07,14.7199997
2022-09-08,10.3999998
2022-09-09,-9999
2022-09-10,-9999
2022-09-11,-9999
2022-09-12,7.56999983
2022-09-13,8.16999982
2022-09-14,16.3499996
2022-09-15,-9999
2022-09-16,-9999
2022-09-17,-9999
2022-09-18,8.48999981
2022-09-19,26.5999994
2022-09-20,8.35999981
2022-09-21,10.9999998
2022-09-22,6.39999986
2022-09-23,9.45999979
2022-09-24,-9999
2022-09-25,-9999
2022-09-26,-9999
2022-09-27,-9999
2022-09-28,-9999
2022-09-29,-9999
2022-09-30,-9999
2022-10-01,-9999
2022-10-02,-9999
2022-10-03,5.36999988
2022-10-04,-9999
2022-10-05,6.90999985
2022-10-06,-9999
2022-10-07,9.44999979
2022-10-08,8.44999981
2022-10-09,21.5599995
2022-10-10,3.67999992
2022-10-11,-9999
2022-10-12,3.55999992
2022-10-13,11.9799997
2022-10-14,30.5299993
2022-10-15,5.13999989
2022-10-16,31.5099993
2022-10-17,2.04999995
2022-10-18,26.2799994
2022-10-19,2.33999995
2022-10-20,17.1199996
2022-10-21,9.0399998
2022-10-22,4.20999991
2022-10-23,35.0599992
2022-10-24,4.86999989
2022-10-25,12.8899997
2022-10-26,19.9999996
2022-10-27,31.9399993
2022-10-28,10.5899998
2022-10-29,2.51999994
2022-10-30,0.309999993
2022-10-31,5.78999987
2022-11-01,58.5499987
2022-11-02,6.17999986
2022-11-03,45.889999
2022-11-04,11.2199997
2022-11-05,4.10999991
2022-11-06,7.53999983
2022-11-07,18.8599996
2022-11-08,44.649999
2022-11-09,16.3799996
2022-11-10,38.1599991
2022-11-11,16.1599996
2022-11-12,15.4699997
2022-11-13,3.24999993
2022-11-14,12.4399997
2022-11-15,21.6799995
2022-11-16,20.0699996
2022-11-17,26.4199994
2022-11-18,18.6599996
2022-11-19,7.06999984
2022-11-20,-9999
2022-11-21,-9999
2022-11-22,44.499999
2022-11-23,3.53999992
2022-11-24,33.2599993
2022-11-25,81.4399982
2022-11-26,41.0399991
2022-11-27,-9999
2022-11-28,6.53999985
2022-11-29,24.5899995
2022-11-30,36.9199992
2022-12-01,9.62999978
2022-12-02,1.80999996
2022-12-03,1.66999996
2022-12-04,0.289999994
2022-12-05,13.8299997
2022-12-06,52.6199988
2022-12-07,10.7599998
2022-12-08,15.4899997
