date,vpr
2022-05-01,1.41100007
2022-05-02,0.174000008
2022-05-03,1.97200009
2022-05-04,1.94100009
2022-05-05,0.951000045
2022-05-06,0.557000026
2022-05-07,0.63500003
2022-05-08,0.517000025
2022-05-09,0.435000021
2022-05-10,1.81700009
2022-05-11,1.35400006
2022-05-12,0.618000029
2022-05-13,1.48300007
2022-05-14,1.20000006
2022-05-15,1.55900007
2022-05-16,0.276000013
2022-05-17,2.0560001
2022-05-18,1.64100008
2022-05-19,2.1370001
2022-05-20,-9999
2022-05-21,0.62800003
2022-05-22,0.706000034
2022-05-23,1.83300009
2022-05-24,2.0300001
2022-05-25,-9999
2022-05-26,2.72800013
2022-05-27,-9999
2022-05-28,1.01600005
2022-05-29,1.83500009
2022-05-30,1.82000009
2022-05-31,2.2080001
2022-06-01,1.56300007
2022-06-02,1.96200009
2022-06-03,-9999
2022-06-04,2.1350001
2022-06-05,-9999
2022-06-06,1.79000009
2022-06-07,1.94400009
2022-06-08,2.29000011
2022-06-09,2.72400013
2022-06-10,-9999
2022-06-11,2.67100013
2022-06-12,1.58600008
2022-06-13,1.31400006
2022-06-14,1.52400007
2022-06-15,1.62900008
2022-06-16,-9999
2022-06-17,1.62100008
2022-06-18,3.06700015
2022-06-19,1.27400006
2022-06-20,0.995000047
2022-06-21,1.38200007
2022-06-22,1.36100006
2022-06-23,1.70700008
2022-06-24,-9999
2022-06-25,1.32900006
2022-06-26,1.90400009
2022-06-27,1.49500007
2022-06-28,0.724000034
2022-06-29,1.97100009
2022-06-30,1.24700006
2022-07-01,-9999
2022-07-02,2.74300013
2022-07-03,2.54400012
2022-07-04,2.67100013
2022-07-05,1.75700008
2022-07-06,1.76500008
2022-07-07,1.49600007
2022-07-08,-9999
2022-07-09,2.1340001
2022-07-10,1.38000007
2022-07-11,1.69400008
2022-07-12,2.0130001
2022-07-13,2.41500011
2022-07-14,1.73100008
2022-07-15,2.0850001
2022-07-16,1.38100007
2022-07-17,2.0980001
2022-07-18,2.56700012
2022-07-19,-9999
2022-07-20,3.16400015
2022-07-21,1.78800008
2022-07-22,1.97000009
2022-07-23,1.52000007
2022-07-24,2.0150001
2022-07-25,1.80300009
2022-07-26,-9999
2022-07-27,3.23200015
2022-07-28,0.514000024
2022-07-29,-9999
2022-07-30,1.96300009
2022-07-31,1.49000007
2022-08-01,2.22000011
2022-08-02,2.0240001
2022-08-03,3.53400017
2022-08-04,3.10000015
2022-08-05,4.02100019
2022-08-06,-9999
2022-08-07,1.75300008
2022-08-08,1.56100007
2022-08-09,1.94500009
2022-08-10,2.33800011
2022-08-11,1.72000008
2022-08-12,1.98000009
2022-08-13,1.06500005
2022-08-14,1.43000007
2022-08-15,1.39300007
2022-08-16,-9999
2022-08-17,0.224000011
2022-08-18,-9999
2022-08-19,1.95000009
2022-08-20,2.2090001
2022-08-21,2.53600012
2022-08-22,1.70900008
2022-08-23,1.81800009
2022-08-24,-9999
2022-08-25,-9999
2022-08-26,1.60900008
2022-08-27,2.39200011
2022-08-28,-9999
2022-08-29,1.21500006
2022-08-30,1.77200008
2022-08-31,0.62600003
2022-09-01,2.40800011
2022-09-02,2.1960001
2022-09-03,2.0610001
2022-09-04,2.90500014
2022-09-05,1.54900007
2022-09-06,1.47100007
2022-09-07,1.70000008
2022-09-08,1.02400005
2022-09-09,-9999
2022-09-10,-9999
2022-09-11,-9999
2022-09-12,1.32600006
2022-09-13,1.86100009
2022-09-14,0.721000034
2022-09-15,-9999
2022-09-16,-9999
2022-09-17,-9999
2022-09-18,2.0220001
2022-09-19,1.25700006
2022-09-20,1.91400009
2022-09-21,0.967000046
2022-09-22,1.24500006
2022-09-23,1.89500009
2022-09-24,-9999
2022-09-25,-9999
2022-09-26,-9999
2022-09-27,-9999
2022-09-28,-9999
2022-09-29,2.75900013
2022-09-30,-9999
2022-10-01,2.0940001
2022-10-02,1.78700008
2022-10-03,2.67700013
2022-10-04,2.49900012
2022-10-05,1.48500007
2022-10-06,-9999
2022-10-07,1.75000008
2022-10-08,1.20000006
2022-10-09,0.894000042
2022-10-10,1.62500008
2022-10-11,-9999
2022-10-12,1.02900005
2022-10-13,1.93400009
2022-10-14,1.18100006
2022-10-15,1.65100008
2022-10-16,0.763000036
2022-10-17,1.66700008
2022-10-18,0.871000041
2022-10-19,2.1040001
2022-10-20,1.21100006
2022-10-21,1.96200009
2022-10-22,1.18300006
2022-10-23,1.08700005
2022-10-24,2.26300011
2022-10-25,0.676000032
2022-10-26,1.14600005
2022-10-27,0.768000036
2022-10-28,1.00200005
2022-10-29,1.75000008
2022-10-30,1.73600008
2022-10-31,1.60200008
2022-11-01,1.20600006
2022-11-02,1.05700005
2022-11-03,1.23100006
2022-11-04,1.05500005
2022-11-05,0.751000036
2022-11-06,0.387000018
2022-11-07,0.730000035
2022-11-08,1.00700005
2022-11-09,0.548000026
2022-11-10,0.885000042
2022-11-11,0.876000042
2022-11-12,0.820000039
2022-11-13,0.672000032
2022-11-14,1.37700007
2022-11-15,0.820000039
2022-11-16,0.719000034
2022-11-17,1.20300006
2022-11-18,0.667000032
2022-11-19,0.906000043
2022-11-20,1.19500006
2022-11-21,0.353000017
