date,date,value,actual
2022-05-28,2022-05-28,0.0,0.0
2022-05-29,2022-05-29,0.046039447,0.0
2022-05-30,2022-05-30,0.10493514,0.0
2022-05-31,2022-05-31,0.0,0.0
2022-06-01,2022-06-01,0.13415842,0.0
2022-06-02,2022-06-02,1.0997045,0.0
2022-06-04,2022-06-04,0.0,0.0
2022-06-06,2022-06-06,0.0,0.0
2022-06-07,2022-06-07,0.0,0.0
2022-06-08,2022-06-08,0.29619524,0.0
2022-06-09,2022-06-09,0.0,0.0
2022-06-11,2022-06-11,0.018976608,0.0
2022-06-12,2022-06-12,0.39124984,0.2
2022-06-13,2022-06-13,2.0165555,4.9
2022-06-14,2022-06-14,0.58646417,0.5
2022-06-15,2022-06-15,0.0034140358,0.0
2022-06-17,2022-06-17,0.0,0.0
2022-06-18,2022-06-18,0.0,0.0
2022-06-19,2022-06-19,0.33344787,0.0
2022-06-20,2022-06-20,0.0,0.0
2022-06-21,2022-06-21,0.13868904,0.0
2022-06-22,2022-06-22,0.45333168,0.0
2022-06-23,2022-06-23,0.0,0.0
2022-06-25,2022-06-25,0.9776854,4.5
2022-06-26,2022-06-26,0.0,0.0
2022-06-27,2022-06-27,0.0,0.0
2022-06-29,2022-06-29,0.0,0.0
2022-06-30,2022-06-30,0.3546463,0.0
2022-07-02,2022-07-02,0.0,0.0
2022-07-03,2022-07-03,0.07345747,0.0
2022-07-04,2022-07-04,0.0,0.0
2022-07-05,2022-07-05,0.0,0.0
2022-07-06,2022-07-06,0.0,0.0
2022-07-07,2022-07-07,0.0,0.0
2022-07-09,2022-07-09,0.0,0.0
2022-07-10,2022-07-10,0.0,0.0
2022-07-11,2022-07-11,0.040993985,0.0
2022-07-12,2022-07-12,0.018426029,0.0
2022-07-13,2022-07-13,0.0,0.0
2022-07-14,2022-07-14,0.48366,0.0
2022-07-15,2022-07-15,0.44134662,0.0
2022-07-16,2022-07-16,0.056869853,0.0
2022-07-17,2022-07-17,1.4308149,0.0
2022-07-18,2022-07-18,0.0,0.0
2022-07-20,2022-07-20,0.0,0.0
2022-07-21,2022-07-21,0.0,0.0
2022-07-22,2022-07-22,0.0,0.0
2022-07-23,2022-07-23,0.0,0.0
2022-07-24,2022-07-24,0.0,0.0
2022-07-25,2022-07-25,0.48366,0.0
2022-07-27,2022-07-27,0.0,0.0
2022-07-30,2022-07-30,0.2996259,0.0
2022-07-31,2022-07-31,0.0,0.0
2022-08-01,2022-08-01,0.002132254,0.0
2022-08-02,2022-08-02,0.0,0.0
2022-08-03,2022-08-03,0.0,0.0
2022-08-04,2022-08-04,0.09428979,0.0
2022-08-05,2022-08-05,1.513438,0.0
2022-08-07,2022-08-07,0.07345747,0.0
2022-08-08,2022-08-08,0.06665784,0.0
2022-08-09,2022-08-09,0.7928866,0.4
2022-08-10,2022-08-10,0.0,0.3
2022-08-11,2022-08-11,0.21008612,0.0
2022-08-12,2022-08-12,0.12927797,0.0
2022-08-13,2022-08-13,0.0,0.0
2022-08-14,2022-08-14,0.07345747,0.0
2022-08-15,2022-08-15,0.0,0.0
2022-08-19,2022-08-19,0.018426029,0.0
2022-08-20,2022-08-20,0.03269027,0.0
2022-08-21,2022-08-21,0.0,0.0
2022-08-22,2022-08-22,0.6164408,0.0
2022-08-23,2022-08-23,0.09666354,0.2
2022-08-26,2022-08-26,0.0,0.0
2022-08-27,2022-08-27,0.0,0.0
2022-08-29,2022-08-29,0.0,0.0
2022-08-30,2022-08-30,0.0,0.6
2022-09-01,2022-09-01,0.33548352,1.0
2022-09-02,2022-09-02,0.0,0.0
2022-09-03,2022-09-03,0.004337882,0.0
2022-09-04,2022-09-04,1.1182792,0.0
2022-09-05,2022-09-05,0.0,0.0
2022-09-06,2022-09-06,0.0,0.0
2022-09-07,2022-09-07,0.6260635,0.0
2022-09-08,2022-09-08,0.09666354,0.0
2022-09-12,2022-09-12,0.0,0.0
2022-09-13,2022-09-13,0.24872623,0.0
2022-09-18,2022-09-18,0.07417487,0.0
2022-09-19,2022-09-19,2.024448,0.0
2022-09-20,2022-09-20,0.42853782,0.8
2022-09-21,2022-09-21,0.0,0.0
2022-09-22,2022-09-22,0.017912982,0.0
2022-09-23,2022-09-23,0.18215021,0.0
2022-09-29,2022-09-29,0.5644602,0.0
2022-10-01,2022-10-01,0.0,0.0
2022-10-02,2022-10-02,0.0,0.0
2022-10-03,2022-10-03,0.08365295,0.0
2022-10-04,2022-10-04,0.13081984,0.0
2022-10-05,2022-10-05,0.15655258,0.0
2022-10-07,2022-10-07,0.03269027,0.0
2022-10-08,2022-10-08,0.21297674,0.1
