year,5mns,10mns,15mns,30mns,1h,3h,24h
1998,85.0,65.0,55.0,41.959999,35.5499992,25.869999093333334,2.115624904166667
1999,125.0,95.0,81.0,61.5,34.00999999,12.796666306666665,1.3914581916666666
2000,82.0,62.0,53.0,40.2399978,32.970000299999995,21.386665963333332,4.282916083333333
2001,130.0,99.0,84.0,63.7999992,35.789999,35.329999146666665,3.4877084083333334
2002,70.0,53.0,45.0,34.2199974,28.3999997,20.796665853333334,2.2814583791666667
2003,76.0,57.0,49.0,37.2199974,32.71,21.160000040666667,3.807500204166667
2004,73.0,55.0,47.0,35.8600006,27.439998600000003,16.64666619666667,2.8958339708333334
2005,90.0,68.0,58.0,44.3400002,27.179998910000002,19.346666106666667,2.42333285
2006,78.0,59.0,50.0,38.2000008,22.79000022,12.726666297333333,1.9031244916666665
2007,83.0,62.0,53.0,40.5599976,21.38999881,13.9799997,2.792083420833333
2008,61.0,46.0,39.0,29.959999,29.9499988,22.98666602,1.8006248458333334
2009,66.0,50.0,43.0,32.619999,26.4799996,19.889999806666665,3.1043748875
2010,77.0,58.0,49.0,37.8799972,22.609999610000003,14.956666028999999,3.2497914624999997
2011,91.0,69.0,58.0,44.619999,35.0699988,17.229999616666667,2.0802083000000002
2012,69.0,52.0,44.0,34.079998,24.1799994,18.779999603333334,2.4897915541666666
2013,139.0,105.0,89.0,68.1800004,45.1099997,27.816665733333334,6.059375125
2014,51.0,39.0,33.0,25.3400002,24.8899994,18.46333307,3.121458370833333
2015,73.0,55.0,47.0,35.7999992,25.21999929,14.156666200000002,1.8266668333333334
2016,60.0,45.0,38.0,29.4799996,24.909998899999998,14.64999967,2.2160415666666666
2017,66.0,50.0,43.0,32.6800004,24.779999779999997,11.06999971,1.0645831416666667
2018,82.0,62.0,53.0,40.3799972,33.3699989,15.866665906666666,3.0874999375
2019,135.0,102.0,87.0,66.0,64.8499985,41.39666606,2.8329168958333333
